"title","gmd_name","edition","isbn_issn","publisher_name","publish_year","collation","series_title","call_number","language_name","place_name","classification","notes","image","sor","authors","topics","item_code"
"the cruel prince","book","","","","","","","","English","","","","","","<holly black>","","<ELT605>"
"before we were strangers","book","","","","","","","","English","","","","","","<renee carlind>","","<ELT604>"
"AL Momin (The History)","book","","","","","","","","English","","","","","","<Momin Kassamali NoorMohammad Jalal Maredia>","","<HIS038>"
"Twilight","book","","","","","","","","English","","","","","","<shephenie meyer>","","<ELT603>"
"reminders of him","book","","","","","","","","English","","","","","","<colleen hoover>","","<ELT220><ELT602>"
"mrs funnybones","book","","","","","","","","English","","","","","","<twinkle khanna>","","<ELT601>"
"if i stay","book","","","","","","","","English","","","","","","<gayle forman>","","<ELT600>"
"ugly love","book","","","","","","","","English","","","","","","<collin hoover>","","<ELT599>"
"The Children's Atlas of Civilisations","book","","","","","","","","English","","","","","","<ANTONY MASON>","","<GEN056>"
"What You Know About The Egyptians","book","","","","","","","","English","","","","","","<JOANNA DEFRATES>","","<GEN055>"
"Prehistory And The Dinosaurs","book","","","","","","","","English","","","","","","<ROBERT MUIR WOOD>","","<SLT076>"
"The City of Two Continents Istanbul","book","","","","","","","","English","","","","","","<ILHAN AKSIT>","","<GEN054>"
"the murder of History","book","","","","","","","","English","","","","","","<K K AZIZ>","","<ELT598>"
"ecstacy and enlightment","book","","","","","","","","English","","NONE","","","","<ali s.asani>","",""
"tell me when","book","","","","","","","","English","","NONE","","","","","",""
"kishmish","book","","","","","","","","Urdu","","NONE","","","","<BOOK GROUP>","","<KU145>"
"Thew Little Gaint Book Of math Puzzles","book","","","","","","","","English","","NONE","","","","<Derrick Niederman>","","<KE915>"
"A guinea Pig Romeo And Juliet","book","","","","","","","","English","","NONE","","","","<guinea pig classics>","","<KE914>"
"A Guinea Pig Pride And Prejudice","book","","","","","","","","English","","NONE","","","","<guinea pig classics>","","<KE913>"
"A Guinea Pig Oliver Twist","book","","","","","","","","English","","NONE","","","","<guinea pig classics>","","<KE912>"
"word search 2","book","","","","","","","","English","","NONE","","","","<STERLING PUBLISHERS>","","<KE911>"
"word search 1","book","","","","","","","","English","","NONE","","","","<STERLING PUBLISHERS>","","<KE910>"
"the mill on the floss","book","","","","","","","","English","","NONE","","","","<Suitably Abridged>","","<ELT597>"
"Heidi","book","","","","","","","","English","","NONE","","","","<johanna spyri>","","<KE909>"
"The Secret Room","book","","","","","","","","English","","NONE","","","","<RODERICK HUNT>","","<KE908>"
"I Can Read!","book","","","","","","","","English","","NONE","","","","<Berenstain Bear>","","<KE907>"
"The Enormous Turnip","book","","","","","","","","English","","NONE","","","","<LADYBIRD>","","<KE906>"
"Qasas-Ul-Anbiya","book","","","","","","","","English","","NONE","","","","<CHILDREN PUBLICATION>","","<PER895>"
"Hazrat Shumail Ale Salam","book","","","","","","","","Urdu","","NONE","","","","<CHILDRENS BOOK>","","<KU144>"
"Great Big Mystery Book","book","","","","","","","","English","","NONE","","","","<richard Scarry>","","<KE905>"
"Beginners Science","book","","","","","","","","English","","NONE","","","","<Rahber Publishers>","","<KE904>"
"Wheels of Steel","book","","","","","","","","English","","NONE","","","","<Marvel>","","<KE903>"
"Tick-Tock A Book about Time","book","","","","","","","","English","","NONE","","","","<James Dunbar>","","<KE902>"
"friends like you","book","","","","","","","","English","","NONE","","","","<veronica wagner>","","<KE901>"
"Marvel Year by Year","book","","","","","","","","English","","NONE","","","","<Marvel>","","<KE900>"
"Let's go Home, Little Bear","book","","","","","","","","English","","NONE","","","","<Martin Waddell>","","<KE899>"
"The Importance of Charles Dickens","book","","","","","","","","English","","NONE","","","","<Eleanor H. Ayer>","","<PER894>"
"Friends Like You","book","","","","","","","","English","","NONE","","","","<veronica wagner>","","<KE898>"
"Build Your Vocabulary Amusement park","book","","","","","","","","English","","NONE","","","","<Quixot Publication>","","<KE897>"
"A Cat in tree","book","","","","","","","","English","","NONE","","","","<ALEX BRYCHTA>","","<KE893>"
"Alfonse, Where are you?","book","","","","","","","","English","","NONE","","","","<Dragonfly>","","<KE889>"
"Our Solar System","book","","","","","","","","English","","NONE","","","","<Clare Oliver>","","<SLT075>"
"The Monsters project book","book","","","","","","","","English","","NONE","","","","<steve skidmore>","","<SLT074>"
"Dubliners","book","","","","","","","","English","","NONE","","","","<James Joyce>","","<ELT596>"
"bright lights dark nights","book","","","","","","","","English","","NONE","","","","<steven emond>","","<ELT226>"
"Everyday Life","book","","","","","","","","English","","NONE","","","","<The World>","","<KE888>"
"Music And Art","book","","","","","","","","English","","NONE","","","","<The World>","","<KE887>"
"The World We Live In","book","","","","","","","","English","","NONE","","","","<The World>","","<KE886>"
"Amazing Facts","book","","","","","","","","English","","NONE","","","","<The World>","","<KE885>"
